"TFName","mean_of_gene_mean_abs_TSS_distance","TF_distance_class"
"GFI1",107531.686842105,"distal_TF"
"FOXF2",107639.833333333,"distal_TF"
"VAX2",107756.206504609,"distal_TF"
"mix-a",107946.954081633,"distal_TF"
"BHLHA15",108145.870689655,"distal_TF"
"BNC2",108203.772039897,"distal_TF"
"FOXH1",108218.90445269,"distal_TF"
"RBPJ",108295.710444171,"distal_TF"
"NOTO",108443.892926388,"distal_TF"
"EMX2",108491.427161427,"distal_TF"
"EWSR1-FLI1",108956.333333333,"distal_TF"
"NRL",109095.543209877,"distal_TF"
"Arntl",109330.316115702,"distal_TF"
"JUN::JUNB",109411.425817701,"distal_TF"
"FERD3L",109440.54,"distal_TF"
"Hmx1",109524.777777778,"distal_TF"
"DMRTC2",109609.5,"distal_TF"
"MEF2B",109686.533333333,"distal_TF"
"FOXB1",109895.196825397,"distal_TF"
"SPIC",109941.347777778,"distal_TF"
"Elf5",109996.844234183,"distal_TF"
"GLI3",110472.5,"distal_TF"
"FOXC1",110663.197930206,"distal_TF"
"TWIST1",110829.136734478,"distal_TF"
"CDX1",110919.557142857,"distal_TF"
"Sox1",110983,"distal_TF"
"ETV5::FOXO1",111016.33521571,"distal_TF"
"RORC",111022.50462963,"distal_TF"
"FOSL1::JUNB",111140.908706468,"distal_TF"
"Neurod2",111216.451591424,"distal_TF"
"HOXB1",111257.18956167,"distal_TF"
"TFAP4",111343.122953401,"distal_TF"
"GATA1",111535.65625,"distal_TF"
"Foxq1",111549.488888889,"distal_TF"
"SCRT1",111578.893333333,"distal_TF"
"SNAI2",111589.924616626,"distal_TF"
"ZNF274",111647.5,"distal_TF"
"Gfi1B",111700.032172149,"distal_TF"
"ARGFX",111942.19,"distal_TF"
"SCRT2",111961.596774194,"distal_TF"
"Dlx2",112072.8,"distal_TF"
"Dlx5",112072.8,"distal_TF"
"BATF",112113.385745207,"distal_TF"
"FOXP3",112166.963140295,"distal_TF"
"JUNB",112435.002688172,"distal_TF"
"Isl1",112577.226190476,"distal_TF"
"FOS::JUND",112691.995634921,"distal_TF"
"ZBED2",112734.722891566,"distal_TF"
"RORA",113019.525,"distal_TF"
