"TFName","timepoint","n_positive_expression","n_negative_expression","n_total_positive_contrib","positive_expression_fraction","negative_expression_fraction","mean_contribution","median_contribution","global_positive_fraction","binomial_p_value","binomial_p_adj","difference_from_timepoint_global","expression_bias"
"PAX1","day_0",9,7,16,0.5625,0.4375,0.020670053875,0.02148395,0.515210540681373,0.805068595439132,1,0.0472894593186274,"positive_expression_enriched"
"ZBTB26","day_0",33,33,66,0.5,0.5,0.0130650451969697,0.0119967165,0.515210540681373,0.807002359136581,1,-0.0152105406813726,"negative_expression_enriched"
"HES6","day_0",8,9,17,0.470588235294118,0.529411764705882,0.0126097964117647,0.012736511,0.515210540681373,0.810297539580785,1,-0.0446223053872546,"negative_expression_enriched"
"HOXD12::ELK1","day_0",8,9,17,0.470588235294118,0.529411764705882,0.0109460321176471,0.010174384,0.515210540681373,0.810297539580785,1,-0.0446223053872546,"negative_expression_enriched"
"TFAP4::FLI1","day_0",8,9,17,0.470588235294118,0.529411764705882,0.0223614238235294,0.016859804,0.515210540681373,0.810297539580785,1,-0.0446223053872546,"negative_expression_enriched"
"Foxo3","day_0",39,34,73,0.534246575342466,0.465753424657534,0.0138717916438356,0.010850225,0.515210540681373,0.815114057953101,1,0.0190360346610934,"positive_expression_enriched"
"TBX21","day_0",10,8,18,0.555555555555556,0.444444444444444,0.00771506816666667,0.004183888,0.515210540681373,0.816068493563911,1,0.0403450148741834,"positive_expression_enriched"
"FOS::JUN","day_0",89,80,169,0.526627218934911,0.473372781065089,0.0113042422130178,0.008518961,0.515210540681373,0.817510716572929,1,0.0114166782535384,"positive_expression_enriched"
"Stat5a::Stat5b","day_0",90,81,171,0.526315789473684,0.473684210526316,0.0168584478102323,0.01308918,0.515210540681373,0.818573984516417,1,0.0111052487923113,"positive_expression_enriched"
"ETV7","day_0",249,229,478,0.52092050209205,0.47907949790795,0.0167143778368201,0.013895432,0.515210540681373,0.819113930826968,1,0.00570996141067737,"positive_expression_enriched"
"SP8","day_0",91,82,173,0.526011560693642,0.473988439306358,0.0123834117572254,0.012084354,0.515210540681373,0.819622667767527,1,0.0108010200122693,"positive_expression_enriched"
"DMRTA1","day_0",41,36,77,0.532467532467532,0.467532467532468,0.0118626700598368,0.01034584,0.515210540681373,0.819968583982287,1,0.0172569917861594,"positive_expression_enriched"
"E2F6","day_0",88,86,174,0.505747126436782,0.494252873563218,0.0152289571954023,0.012707293,0.515210540681373,0.820320619479996,1,-0.00946341424459063,"negative_expression_enriched"
"Foxf1","day_0",43,38,81,0.530864197530864,0.469135802469136,0.0118332571728395,0.010124751,0.515210540681373,0.824491216786166,1,0.0156536568494914,"positive_expression_enriched"
"Hoxa11","day_0",11,9,20,0.55,0.45,0.0103638714666829,0.005268759,0.515210540681373,0.825426775963259,1,0.0347894593186274,"positive_expression_enriched"
"JUN::JUNB","day_0",97,88,185,0.524324324324324,0.475675675675676,0.0111930373823742,0.008782446,0.515210540681373,0.825626359395247,1,0.00911378364295135,"positive_expression_enriched"
